   3.7894737e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   1.0573245e+00	   5.5442871e-02	
   6.3157895e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   1.7618521e+00	   9.2390790e-02	
   8.8421053e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   2.4658472e+00	   1.2931774e-01	
   1.1368421e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   3.1690980e+00	   1.6621538e-01	
   1.3894737e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   3.8713944e+00	   2.0307541e-01	
   1.6421053e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   4.5725277e+00	   2.3988959e-01	
   1.8947368e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   5.2722914e+00	   2.7664974e-01	
   2.1473684e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   5.9704814e+00	   3.1334776e-01	
   2.4000000e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   6.6668964e+00	   3.4997567e-01	
  -2.4000000e+01	  -1.8947368e+01	   1.8651747e-14	   5.3011982e+00	  -6.6749124e+00	  -3.0936237e-01	
  -2.1473684e+01	  -1.8947368e+01	   1.8651747e-14	   5.3011982e+00	  -5.9776729e+00	  -2.7698540e-01	
  -1.8947368e+01	  -1.8947368e+01	   1.8651747e-14	   5.3011982e+00	  -5.2786521e+00	  -2.4454631e-01	
